No.,Puesto Institucional,Grado jerárquico o escala al que pertenece el puesto,Remuneración mensual unificada,Remuneración unificada (anual),Décimo Tercera Remuneración,Décima Cuarta Remuneración,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
240,PATRÓN DE ALTURA  ,2,"1,189.00","14,268.00",693.56,225.19,0,0,918.75
241,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.68,225.19,0,733.33,"1,320.20"
242,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
243,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
244,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",661.06,225.19,323.85,0,"1,210.10"
245,OPERADOR DE ISLA ( E ) ,3,627.45,"7,529.40",395.37,225.19,352.31,"2,712.85","3,685.72"
246,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
247,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",848.21,225.19,840.72,0,"1,914.12"
248,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
249,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
250,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",390.52,225.19,346.33,0,962.04
251,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
252,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",384.31,225.19,271.74,0,881.24
253,ASISTENTE ADMINISTRATIVA  ,2,"1,597.00","19,164.00",931.56,225.19,0,0,"1,156.75"
254,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",362.65,225.19,11.63,0,599.47
255,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
256,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",382.53,225.19,250.43,0,858.15
257,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",650.24,225.19,697.8,0,"1,573.23"
258,JEFE SERVICIOS GENERALES ( E ) ,6,"2,682.00","32,184.00","1,564.50",225.19,0,"10,132.67","11,922.36"
259,INGENIERO DE SOPORTE DE OPERACIONES Y COMPLETACIÓN  ,4,"1,560.00","18,720.00","1,017.26",225.19,"1,287.00",0,"2,529.45"
260,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
261,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
262,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
263,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",679.74,225.19,548.05,0,"1,452.98"
264,SUPERVISOR DE SEGURIDAD Y AMBIENTE  ,5,"3,000.00","36,000.00","1,750.00",225.19,0,0,"1,975.19"
265,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",362.65,225.19,11.63,0,599.47
266,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",636.68,225.19,534.98,0,"1,396.85"
267,SUPERVISOR DE CONSTRUCCIONES  ,5,"2,470.00","29,640.00","1,454.54",225.19,164.67,0,"1,844.40"
268,OPERADOR DE ISLA  ,3,"1,405.00","16,860.00",906.3,225.19,"1,040.58",0,"2,172.07"
269,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
270,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
271,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",868.16,225.19,"1,079.75",0,"2,173.10"
272,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,885,"10,620.00",570.34,225.19,648.97,910,"2,354.50"
273,TÉCNICO LÍDER AUTOMOTRIZ ( E ) ,4,513,"6,156.00",299.25,225.19,0,"6,902.00","7,426.44"
274,TÉCNICO AUTOMOTRIZ ( E ) ,3,465,"5,580.00",271.25,225.19,0,"3,850.00","4,346.44"
275,SUPERVISOR DE SEGURIDAD Y AMBIENTE / TALADROS  ,4,"2,277.00","27,324.00","1,328.25",225.19,0,0,"1,553.44"
276,SUPERVISOR ELÉCTRICO  ,5,"1,800.00","21,600.00","1,089.54",225.19,474.38,0,"1,789.11"
277,OPERADOR DE EQUIPO ( E ) ,3,531,"6,372.00",309.75,225.19,0,"3,388.00","3,922.94"
278,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
279,SUPERVISOR DE CONTROL DE PROYECTOS  ,5,"3,363.00","40,356.00","1,083.63",124.39,0,0,"1,208.02"
280,CONDUCTOR  ,1,753,"9,036.00",439.25,225.19,0,0,664.44
281,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
282,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"4,361.00","52,332.00","2,543.94",225.19,0,0,"2,769.13"
283,INGENIERO DE INTEGRIDAD MECÁNICA ( E ) ,5,"1,015.00","12,180.00",592.06,225.19,0,"8,400.00","9,217.25"
284,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
285,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
286,TÉCNICO MECÁNICO ( E ) ,3,885,"10,620.00",517.63,225.19,16.59,186.33,945.74
287,INGENIERO DE SOPORTE INTEGRIDAD MECÁNICA  ( S ),4,"1,015.00","12,180.00",602.01,225.19,119.26,"2,113.47","3,059.93"
288,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",639.58,225.19,569.87,0,"1,434.64"
289,ANALISTA DE CONTRATOS  ,3,"1,015.00","12,180.00",592.06,225.19,0,0,817.25
290,OPERADOR LÍDER DE PLANTA  ,4,"2,277.00","27,324.00","1,477.67",225.19,"1,793.11",0,"3,495.97"
291,OPERADOR DE ISLA  ,3,"1,334.00","16,008.00",840.57,225.19,749.01,0,"1,814.77"
292,INGENIERO DE AUTOMATIZACIÓN  ,5,"2,950.00","35,400.00","1,872.87",225.19,"1,824.59",0,"3,922.65"
293,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
294,ANALISTA DE AUDITORÍA INTERNA  ,3,"1,500.00","18,000.00",875,225.19,0,0,"1,100.19"
295,TÉCNICO DE LABORATORIO  ,3,"1,354.00","16,248.00",842.83,225.19,636.09,0,"1,704.11"
296,ANALISTA DE APLICACIONES DE NEGOCIOS  ,3,"1,620.00","19,440.00",954.07,225.19,108.87,711.17,"1,999.30"
297,OPERADOR DE PLANTA  ,3,"1,354.00","16,248.00",850.58,225.19,729.17,0,"1,804.94"
298,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",638.12,225.19,552.42,0,"1,415.73"
299,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
300,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",632.3,225.19,482.62,0,"1,340.11"
301,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",375.44,225.19,165.08,0,765.71
302,TÉCNICO RODA  ,3,"1,334.00","16,008.00",907.87,225.19,"1,556.37",0,"2,689.43"
303,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",639.9,225.19,573.74,0,"1,438.83"
304,AUXILIAR DE SERVICIOS  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
305,INGENIERO DE FACILIDADES  ,5,"2,041.61","24,499.32","1,190.91",225.19,0,0,"1,416.10"
306,TÉCNICO DE INTEGRIDAD MECÁNICA ( E ) ,3,620,"7,440.00",361.68,225.19,0,"2,765.00","3,351.87"
307,TÉCNICO ELÉCTRICO (SUBESTACIONES) ( E ) ,3,620,"7,440.00",366.83,225.19,61.88,"2,765.00","3,418.90"
308,MÉDICO OCUPACIONAL  ,4,"2,599.00","31,188.00","1,516.06",225.19,0,0,"1,741.25"
309,TÉCNICO ELÉCTRICO (PLANTA DE GENERACIÓN)  ,3,"2,017.00","24,204.00","1,196.50",225.19,239.1,0,"1,660.79"
310,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",669.63,225.19,930.4,0,"1,825.22"
311,ESPECIALISTA DE TI  ,4,"1,999.00","23,988.00","1,166.06",225.19,0,0,"1,391.25"
312,CONSTRUCTOR COMUNITARIO  ,4,"2,002.00","24,024.00","1,167.81",225.19,0,0,"1,393.00"
313,ASISTENTE ADMINISTRATIVO  ,2,827,"9,924.00",482.44,225.19,0,0,707.63
314,TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",600.69,225.19,103.51,0,929.39
315,ANALISTA DE CONTROL DE COSTOS  ,3,"1,334.00","16,008.00",778.19,225.19,0,0,"1,003.38"
316,TÉCNICO MECÁNICO  ,3,"1,204.00","14,448.00",702.31,225.19,0,0,927.5
317,ADMINISTRADOR DE CAMPO  ,4,"2,495.30","29,943.60","1,550.89",225.19,"1,143.68",0,"2,919.76"
318,SUPERINTENDENTE DE SEGURIDAD  ,6,"4,361.00","52,332.00","2,543.94",225.19,0,0,"2,769.13"
319,ANALISTA DE CONTROL DE COSTOS  ,3,"2,229.00","26,748.00","1,300.25",225.19,0,0,"1,525.44"
320,INGENIERO DE INTEGRIDAD MECÁNICA  ,5,"2,500.00","30,000.00","1,458.31",225.19,0,0,"1,683.50"
321,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
322,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",652.7,225.19,727.32,0,"1,605.21"
323,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",362.81,225.19,13.56,0,601.56
324,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
325,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
326,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
327,TÉCNICO INSTRUMENTISTA ( E ) ,3,620,"7,440.00",367.73,225.19,72.77,526.67,"1,192.36"
328,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
329,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",369.91,225.19,98.76,0,693.86
330,AYUDANTE DE RELACIONES COMUNITARIAS  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
331,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
332,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",366.03,225.19,0,0,591.22
333,CAPATAZ DE SEGURIDAD Y AMBIENTE  ,2,796,"9,552.00",436.47,225.19,0,0,661.66
334,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
335,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,620,"7,440.00",363.61,225.19,23.2,0,612
336,ADMINISTRADOR DE INVENTARIO ( E ) ,3,"1,088.00","13,056.00",634.69,225.19,0,"1,862.00","2,721.88"
337,AYUDANTE DE REFINERÍA  ,1,"1,087.00","13,044.00",673.51,225.19,473.32,0,"1,372.02"
338,SUPERVISOR DE SEIP ( E ) ,5,"2,263.00","27,156.00","1,324.78",225.19,56.58,959,"2,565.55"
339,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",684.93,225.19,610.33,0,"1,520.45"
340,ASISTENTE DE GESTIÓN DE RIESGOS  ,2,845.61,"10,147.32",493.29,225.19,0,0,718.48
341,TÉCNICO ELÉCTRICO  ,3,"1,886.15","22,633.80","1,112.54",225.19,147.36,0,"1,485.09"
342,ANALISTA DE PUERTOS  ,3,"1,354.00","16,248.00",789.81,225.19,0,0,"1,015.00"
343,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
344,INGENIERO DE CORROSIÓN Y QUÍMICOS  ,5,"2,953.00","35,436.00","1,549.34",225.19,0,"1,119.30","2,893.83"
345,ADMINISTRADOR DE INVENTARIO  ( S ),3,916,"10,992.00",534.31,225.19,0,"3,585.80","4,345.30"
346,SUPERVISOR DE MANTENIMIENTO AVIACION ( E ) ,5,"2,596.97","31,163.64","1,866.46",225.19,"4,218.96",0,"6,310.61"
347,ANALISTA DE CONTROL DE COSTOS  ,3,"1,354.00","16,248.00",818.03,225.19,338.51,0,"1,381.73"
348,SUPERVISOR DE PRODUCCIÓN  ,5,"2,200.00","26,400.00","1,570.55",225.19,"3,446.66",0,"5,242.40"
349,JEFE DE CONTROL DE GESTIÓN ( E ) ,6,"3,000.00","36,000.00","1,750.00",225.19,0,"5,257.00","7,232.19"
350,INGENIERO DE CONSTRUCCIÓN  ,5,"2,277.00","27,324.00","1,450.01",225.19,"1,461.08",0,"3,136.28"
351,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",844.4,225.19,794.85,0,"1,864.44"
352,TÉCNICO DE MANTENIMIENTO DE AVIACIÓN  ,3,"2,295.90","27,550.80","1,344.03",225.19,57.4,0,"1,626.62"
353,TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",594.71,225.19,31.72,0,851.62
354,TECNÓLOGO DE LABORATORIO CLÍNICO  ,3,"2,098.00","25,176.00","1,223.81",225.19,0,0,"1,449.00"
355,AYUDANTE DE ALMACÉN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
356,TÉCNICO ELÉCTRICO  ,3,"1,150.00","13,800.00",713.57,225.19,512.85,0,"1,451.61"
357,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",392.59,225.19,371.2,"2,765.00","3,753.98"
358,OPERADOR DE PLANTA  ,3,"2,127.00","25,524.00","1,357.26",225.19,"1,398.04",0,"2,980.49"
359,SUPERINTENDENTE DE CONSTRUCCIONES ( E ) ,6,"3,331.00","39,972.00","2,779.58",225.19,"10,038.07","5,150.00","18,192.84"
360,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
361,SUPERINTENDENTE DE CONSTRUCCIONES  ,6,"5,371.00","64,452.00","3,420.26",225.19,"3,446.38",0,"7,091.83"
362,CONSTRUCTOR COMUNITARIO  ,4,"2,400.00","28,800.00","1,400.00",225.19,0,0,"1,625.19"
363,INGENIERO DE PROCESOS  ,5,"3,360.00","40,320.00","2,040.50",225.19,966,0,"3,231.69"
364,JEFE ZONAL DE CONSTRUCCIONES (ZN)  ,6,"4,967.00","59,604.00","2,897.44",225.19,0,40.87,"3,163.50"
365,COORDINADOR GENERAL DE SALUD OCUPACIONAL ( E ) ,6,"3,300.00","39,600.00","1,925.00",225.19,0,"7,427.00","9,577.19"
366,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
367,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
368,INGENIERO DE LEVANTAMIENTO ARTIFICIAL  ,5,"1,800.00","21,600.00","1,053.73",225.19,44.81,0,"1,323.73"
369,TÉCNICO ELÉCTRICO  ,3,"2,299.21","27,590.52","1,497.91",225.19,"1,880.41",0,"3,603.51"
370,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",672.18,225.19,961.05,0,"1,858.42"
371,INSPECTOR DE CONSTRUCCIONES  ,3,"2,500.00","30,000.00","1,491.91",225.19,403.14,0,"2,120.24"
372,AYUDANTE DE PRODUCCIÓN  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
373,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
374,AYUDANTE DE ALMACÉN  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
375,OPERADOR LÍDER DE PLANTA  ( S ),4,"1,450.00","17,400.00",845.81,225.19,0,"6,233.03","7,304.03"
376,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
377,TÉCNICO RODA ( E ) ,3,"1,087.00","13,044.00",687.02,225.19,635.24,0,"1,547.45"
378,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",641.98,225.19,95,0,962.17
379,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
380,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",464.31,225.19,0,0,689.5
381,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",841.86,225.19,764.28,0,"1,831.33"
382,TÉCNICO DE CONSTRUCCIONES  ,3,"1,334.00","16,008.00",778.19,225.19,0,0,"1,003.38"
383,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",362.97,225.19,15.5,0,603.66
384,AYUDANTE DE PRODUCCIÓN  ,1,627.45,"7,529.40",366.03,225.19,0,0,591.22
385,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",677.67,225.19,523.14,0,"1,426.00"
386,TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",394.83,225.19,397.83,"2,765.00","3,782.85"
387,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
388,OPERADOR DE EQUIPO PESADO ( E ) ,3,620,"7,440.00",364.15,225.19,29.71,"2,765.00","3,384.05"
389,OPERADOR DE PLANTA DE GENERACIÓN ( E ) ,3,620,"7,440.00",364.04,225.19,28.36,"2,765.00","3,382.59"
390,AUXILIAR DE SERVICIOS  ,1,620,"7,440.00",374.16,225.19,149.77,0,749.12
391,INGENIERO DE LEVANTAMIENTO ARTIFICIAL  ,5,"3,415.16","40,981.92","1,992.20",225.19,0,0,"2,217.39"
392,OPERADOR LÍDER DE ISLA  ( S ),4,"2,023.00","24,276.00","1,183.75",225.19,44.25,"4,025.00","5,478.19"
393,OPERADOR DE PLANTA ( E ) ,3,740,"8,880.00",487.73,225.19,672.92,"1,925.00","3,310.84"
394,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
395,TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO  ,3,"1,766.00","21,192.00","1,138.71",225.19,"1,302.40",0,"2,666.30"
396,INGENIERO DE RIESGOS  ,5,"3,720.00","44,640.00","2,178.23",225.19,98.81,0,"2,502.23"
397,SUPERINTENDENTE DE CONSTRUCCIONES  ,6,"5,608.00","67,296.00","3,271.31",225.19,0,0,"3,496.50"
398,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
399,AGENTE DE SEGURIDAD  ,2,906.3,"10,875.60",681.44,225.19,"1,833.30",0,"2,739.93"
400,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
401,AYUDANTE DE SEGURIDAD Y AMBIENTE  ,1,796,"9,552.00",467.22,225.19,34.83,0,727.24
402,INGENIERO DE CORROSIÓN Y QUÍMICOS  ,5,"2,953.00","35,436.00","1,271.42",160.85,0,0,"1,432.27"
403,ASISTENTE ADMINISTRATIVO CAMPO ( E ) ,2,620,"7,440.00",361.68,225.19,0,469,"1,055.87"
404,OPERADOR DE PLANTA ( E ) ,3,620,"7,440.00",403.2,225.19,498.44,"2,765.00","3,891.83"
405,ESPECIALISTA DE INFRAESTRUCTURA TI ( E ) ,4,"1,800.00","21,600.00","1,098.72",225.19,584.66,522.5,"2,431.07"
406,ESPECIALISTA DE SEGURIDAD Y AMBIENTE ( E ) ,4,881,"10,572.00",513.94,225.19,0,"4,326.00","5,065.13"
407,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",660.01,225.19,815.05,0,"1,700.25"
408,OPERADOR LÍDER DE PLANTA  ,4,"2,277.00","27,324.00","1,447.83",225.19,"1,434.95",0,"3,107.97"
409,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
410,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",684.94,225.19,610.33,0,"1,520.46"
411,ASISTENTE DE LENGUA DE SEÑAS  ,2,687,"8,244.00",400.75,225.19,0,0,625.94
412,TÉCNICO DE LABORATORIO  ,3,"1,354.00","16,248.00",789.81,225.19,0,0,"1,015.00"
413,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
414,BODEGUERO  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
415,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",699.22,225.19,"1,285.65",0,"2,210.06"
416,SUPERVISOR DE REACONDICIONAMIENTO ( E ) ,5,"1,015.00","12,180.00",521.39,186.58,369.83,"2,760.00","3,837.80"
417,BODEGUERO (CL)  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
418,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
419,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
420,TÉCNICO DE LABORATORIO  ,3,"1,638.00","19,656.00","1,051.62",225.19,"1,153.43",0,"2,430.24"
421,ANALISTA DE ORIENTACION LABORAL  ,3,929,"11,148.00",541.94,225.19,0,0,767.13
422,CONDUCTOR  ,1,753,"9,036.00",564.38,225.19,"1,501.36",0,"2,290.93"
423,ASISTENTE ADMINISTRATIVA  ,2,916,"10,992.00",55.98,23.59,0,0,79.57
424,ESPECIALISTA DE SEGURIDAD  ,4,"2,200.00","26,400.00","1,283.31",225.19,0,0,"1,508.50"
425,OPERADOR DE PLANTA ( E ) ,3,620,"7,440.00",392.3,225.19,367.64,"2,765.00","3,750.13"
426,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,604.27,"1,191.15"
427,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
428,TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN  ,3,"1,150.00","13,800.00",690.67,225.19,238.16,0,"1,154.02"
429,AYUDANTE DE MANTENIMIENTO AMBIENTAL  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
430,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"4,361.00","52,332.00","2,643.88",225.19,"1,199.28",0,"4,068.35"
431,ASISTENTE DE MOVIMIENTO DE PASIVOS  ,2,916,"10,992.00",534.31,225.19,0,0,759.5
432,INGENIERO DE SOPORTE DE OPERACIONES Y COMPLETACIÓN  ,4,"1,999.00","23,988.00","1,287.15",225.19,"1,452.83",0,"2,965.17"
433,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
434,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
435,OPERADOR DE PLANTA  ,3,"1,334.00","16,008.00",845.67,225.19,810.14,0,"1,881.00"
436,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",684.95,225.19,610.33,0,"1,520.47"
437,INGENIERO DE SOPORTE DE SEGURIDAD INDUSTRIAL  ,4,"2,000.00","24,000.00","1,170.85",225.19,50,0,"1,446.04"
438,INGENIERO DE CORROSIÓN Y QUÍMICOS  ,5,"2,736.00","32,832.00","1,596.00",225.19,0,0,"1,821.19"
439,CAPATAZ PAV ( E ) ,2,620,"7,440.00",361.69,225.19,0,727.47,"1,314.35"
440,OPERADOR DE ISLA  ,3,"1,015.00","12,180.00",639.57,225.19,569.86,0,"1,434.62"
441,OPERADOR DE PLANTA  ,3,"1,015.00","12,180.00",634.94,225.19,514.17,0,"1,374.30"
442,TÉCNICO OVERHAUL  ,3,"2,200.00","26,400.00","1,302.00",225.19,224.12,0,"1,751.31"
443,COORDINADOR DE RECURSOS HUMANOS  ,5,"2,750.00","33,000.00","1,604.19",225.19,0,0,"1,829.38"
444,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",98.17,61.12,0,0,159.29
445,AYUDANTE DE PRODUCCIÓN  ,1,845.61,"10,147.32",523.95,225.19,368.22,0,"1,117.36"
446,ESPECIALISTA DE PLANIFICACIÓN ( E ) ,3,"1,300.00","15,600.00",758.31,225.19,0,"1,300.13","2,283.63"
447,INSPECTOR DE CONSTRUCCIONES ( E ) ,3,"1,334.00","16,008.00",791.83,225.19,163.83,0,"1,180.85"
448,SUPERINTENDENTE DE MANTENIMIENTO  ,6,"4,361.00","52,332.00","2,543.94",225.19,0,0,"2,769.13"
449,ANALISTA DE PROGRAMACIÓN DE COSTOS  ,3,"1,300.00","15,600.00",781.5,225.19,278.28,0,"1,284.97"
450,ESPECIALISTA DE GESTIÓN DE MATERIALES  ,4,"1,900.00","22,800.00","1,108.31",225.19,0,0,"1,333.50"
451,RELACIONADOR COMUNITARIO  ,4,"2,200.00","26,400.00","1,283.31",225.19,0,0,"1,508.50"
452,SUPERVISOR RCRS  ,5,"3,150.00","37,800.00","1,837.50",225.19,0,0,"2,062.69"
453,INGENIERO DE CONFIABILIDAD ( E ) ,5,"1,815.00","21,780.00","1,058.75",225.19,0,"2,800.00","4,083.94"
454,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
455,ASISTENTE ADMINISTRATIVA  ,2,"2,288.16","27,457.92","1,334.76",225.19,0,0,"1,559.95"
456,ESPECIALISTA DE APLICACIONES DE NEGOCIOS  ,4,"2,225.00","26,700.00","1,304.90",225.19,83.46,0,"1,613.55"
457,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",366.85,225.19,62.06,0,654.1
458,SUPERVISOR DE PRODUCCIÓN ( E ) ,5,"2,568.00","30,816.00","1,824.37",225.19,"3,916.20",0,"5,965.76"
459,CONDUCTOR  ,1,653,"7,836.00",380.94,225.19,0,0,606.13
460,AYUDANTE DE MANTENIMIENTO  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
461,OPERADOR OFF SHORE  ,3,"1,354.00","16,248.00",997.89,225.19,"2,496.70",0,"3,719.78"
462,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,343.93,930.8
463,OPERADOR DE PLANTA DE GENERACIÓN  ,3,"1,015.00","12,180.00",637.94,225.19,550.16,0,"1,413.29"
464,GEÓLOGO  ,5,"3,220.00","38,640.00","2,122.57",225.19,"2,931.02",0,"5,278.78"
465,AYUDANTE PAV  ,1,620,"7,440.00",361.69,225.19,0,0,586.88
466,OPERADOR DE ISLA ( E ) ,3,627.45,"7,529.40",395.36,225.19,352.31,"2,712.85","3,685.71"
467,AUXILIAR DE SERVICIOS  ,1,465,"5,580.00",271.25,225.19,0,0,496.44
468,OPERADOR DE EQUIPO PESADO  ,3,"1,150.00","13,800.00",670.81,225.19,0,0,896
469,OPERADOR DE PLANTA ( E ) ,3,620,"7,440.00",382.98,225.19,255.72,"2,765.00","3,628.89"
470,CAPATAZ DE SEGURIDAD Y AMBIENTE  ,2,796,"9,552.00",437.3,225.19,9.95,0,672.44
471,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",684.93,225.19,610.33,0,"1,520.45"
472,OPERADOR DE PLANTA ( E ) ,3,627.45,"7,529.40",396.58,225.19,366.69,"2,712.85","3,701.31"
473,OPERADOR DE PLANTA ( E ) ,3,627.45,"7,529.40",399.56,225.19,402.64,"2,712.85","3,740.24"
474,AYUDANTE DE PRODUCCIÓN  ,1,"1,087.00","13,044.00",634.06,225.19,0,0,859.25
475,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
476,TÉCNICO DE LEVANTAMIENTO ARTIFICIAL  ,3,"1,815.00","21,780.00","1,058.75",225.19,0,0,"1,283.94"
477,AYUDANTE PAV  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
478,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
479,AYUDANTE DE CONSTRUCCIONES  ,1,620,"7,440.00",361.68,225.19,0,0,586.87
